i	treeindex	accept	nnodes	distance	loglik	post	loga	Q	ru
7543	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-112.243804312027	1	-0.720614008802033
7544	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.94503383433897	0.0431034482758621	-0.287687102227215
7545	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.013824675156	1	-0.510555294881199
7546	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-93.692730264272	22.5	-0.660276657806389
7547	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-99.5295102536038	1	-0.779256533409993
7548	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-715.561547945381	1	-0.482837545840331
7549	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.74792643762036
7550	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.29784631336355	0.0431034482758621	-1.34018058788261
7551	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-708.645048921487	22.5	-0.67990473643409
7552	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.78771945380271	0.0431034482758621	-1.75770697622357
7553	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-709.900963684635	1	-0.397459901371855
7554	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.48702765130423	0.0431034482758621	-0.678493719666548
7555	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-5.12253374979031	0.0431034482758621	-1.20580945913576
7556	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-7.13306587093888	0.0431034482758621	-1.4759986783666
7557	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-907.831505787966	1	-0.830090893500329
7558	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-900.889564827601	22.5	-1.22248775831941
7559	83	FALSE	3	0.0909090909090909	-21429.6556052574	-21458.0624406384	-6.78328729140179	0.0431034482758621	-2.91498576755237
